,0,1,2,3,4,5,6,7,8,9
0,leather,black,belt,genuine,brown,faux,men,jacket,coach,strap
1,sunglass,fashion,eye,cat,frame,oversized,woman,retro,eyewear,designer
2,sock,underwear,cotton,pack,panty,men,brief,pair,hipster,12
3,christmas,shirt,sleeve,xmas,top,merry,woman,ugly,long,tree
4,band,watch,compatible,series,apple,40mm,iwatch,38mm,44mm,42mm
5,black,size,bra,large,top,plus,white,lace,pack,pant
6,belt,waist,buckle,for,jean,elastic,leather,woman,dress,fashion
7,charm,bracelet,bead,silver,pandora,european,sterling,love,heart,jewelry
8,gift,necklace,for,birthday,jewelry,mother,mom,bracelet,pendant,girl
9,shoe,nike,kid,boy,sneaker,black,running,white,basketball,big
10,toddler,kid,boot,girl,winter,sock,boy,snow,baby,warm
11,girl,baby,toddler,cotton,clothes,set,kid,short,outfit,little
12,dress,woman,sleeve,flare,neck,line,long,short,sleeveless,mini
13,dress,pocket,maxi,loose,casual,long,sleeve,with,woman,short
14,woman,heather,jacket,black,large,grey,north,the,fleece,size
15,gold,14k,earring,yellow,plated,stud,white,diamond,5mm,pearl
16,necklace,heart,pendant,plated,gold,silver,sterling,love,crystal,rose
17,men,shirt,jersey,large,fan,football,ncaa,team,nfl,5x
18,skirt,waist,high,woman,line,maxi,pleated,midi,mini,elastic
19,men,waterproof,water,fishing,apron,dry,swim,quick,large,resistant
20,bag,luggage,tote,travel,shopping,grocery,suitcase,reusable,organizer,with
21,jogger,pant,sweatpants,pocket,lounge,workout,drawstring,with,woman,yoga
22,swimsuit,swim,piece,one,sun,swimwear,50,rash,guard,upf
23,men,fit,jean,slim,short,pant,casual,stretch,denim,straight
24,sleep,pajama,lounge,pant,men,sleepwear,set,large,plaid,short
25,top,shirt,sleeve,neck,womens,crew,woman,tee,long,short
26,sandal,heel,toe,ankle,strap,platform,wedge,anklet,stiletto,open
27,shirt,top,blouse,casual,sleeve,loose,neck,tunic,summer,woman
28,shoe,girl,kid,mary,little,jane,toddler,flat,princess,sandal
29,necklace,earring,crystal,pendant,jewelry,rhinestone,bead,pearl,choker,flower
30,boy,shirt,kid,youth,short,sleeve,tee,girl,for,3d
31,dress,summer,floral,casual,woman,mini,maxi,sleeve,neck,sleeveless
32,earring,dangle,drop,for,woman,girl,tassel,stud,jewelry,statement
33,mask,face,balaclava,bandana,dust,cover,mouth,gaiter,reusable,scarf
34,bracelet,bead,stone,prayer,healing,necklace,chakra,mala,natural,pendant
35,ring,silver,sterling,size,925,band,gold,cubic,zirconia,wedding
36,cardigan,open,sweater,front,long,knit,sleeve,woman,coat,pocket
37,kid,shoe,boy,water,slipper,toddler,girl,slip,beach,sandal
38,jacket,men,coat,hooded,zip,fleece,winter,hoodie,black,vest
39,racerback,tank,bra,top,sport,woman,impact,black,sleeveless,syrokan
40,sunglass,lens,frame,polarized,aviator,mirror,metal,mirrored,retro,black
41,costume,cosplay,halloween,adult,accessory,party,for,anime,cloak,outfit
42,watch,leather,band,strap,genuine,22mm,20mm,buckle,brown,black
43,woman,swimsuit,tankini,piece,womens,size,top,one,black,large
44,slipper,house,indoor,slip,foam,outdoor,memory,men,shoe,on
45,goggles,sunglass,anti,protection,uv,fog,glass,polarized,for,lens
46,shirt,black,large,the,adult,tee,white,medium,blue,10
47,panty,underwear,woman,high,lace,brief,pack,black,lingerie,waist
48,sweater,pullover,knit,sleeve,long,top,jumper,neck,knitted,loose
49,charm,silver,bracelet,gold,and,with,of,bangle,crystal,plated
50,christmas,gift,santa,for,party,birthday,decoration,holiday,hat,men
51,cocktail,dress,party,vintage,swing,floral,woman,lace,1950s,sleeve
52,shirt,hawaiian,men,beach,button,aloha,down,short,linen,sleeve
53,keychain,key,chain,ring,keyring,car,holder,for,lanyard,leather
54,girl,pink,size,set,and,piece,shirt,pack,little,10
55,wine,dress,red,cocktail,woman,party,neck,sleeve,long,bodycon
56,hat,beanie,cap,winter,knit,warm,woman,slouchy,pom,skull
57,jumpsuit,romper,leg,woman,wide,sleeveless,pant,long,neck,short
58,kid,toddler,little,boy,big,girl,baby,boot,infant,child
59,sterling,silver,earring,925,stud,dangle,hoop,drop,post,jewelry
60,robe,bathrobe,sleepwear,kimono,soft,spa,satin,lightweight,loungewear,long
61,stone,gemstone,silver,gem,sterling,pendant,925,king,necklace,crystal
62,bag,backpack,shoulder,crossbody,travel,messenger,tote,canvas,laptop,for
63,girl,dress,toddler,baby,kid,tutu,skirt,princess,outfit,sleeve
64,baby,girl,outfit,clothes,toddler,pant,set,top,month,kid
65,shirt,men,sleeve,button,short,down,casual,long,polo,cotton
66,glass,eyeglass,lens,case,sunglass,clear,frame,eyewear,holder,anti
67,belt,buckle,leather,men,ratchet,genuine,with,black,for,automatic
68,sandal,shoe,toe,flop,flip,wedge,flat,woman,platform,slip
69,yoga,workout,legging,pant,high,gym,running,tummy,control,woman
70,cover,beach,bikini,swimsuit,up,swimwear,beachwear,ups,bathing,woman
71,watch,band,strap,replacement,compatible,for,galaxy,samsung,stainless,steel
72,face,reusable,mask,washable,filter,mouth,dust,cover,adjustable,adult
73,leotard,ballet,dance,girl,gymnastics,tutu,for,skirt,kid,toddler
74,gaiter,face,bandana,kid,neck,balaclava,scarf,cover,covering,child
75,top,cami,tank,sleeveless,camisole,woman,crop,spaghetti,strap,neck
76,baby,boy,outfit,month,clothes,set,toddler,romper,pant,bodysuit
77,sweatshirt,pullover,long,sleeve,top,casual,hoodie,hoodies,woman,womens
78,print,woman,dress,hair,sleeve,neck,pencil,top,scrub,black
79,beanie,knit,cable,slouchy,hat,warm,chunky,cap,stretch,soft
80,boot,snow,shoe,waterproof,winter,slip,men,ankle,warm,fur
81,shoe,kid,sneaker,boy,girl,led,flashing,light,up,little
82,earring,stud,gold,jewelry,for,pearl,woman,silver,plated,necklace
83,dress,work,sleeve,casual,woman,midi,neck,womens,long,office
84,shirt,tee,top,woman,sleeve,graphic,short,large,casual,womens
85,top,neck,sleeve,shirt,blouse,loose,woman,long,fit,tunic
86,ear,earring,gauge,plug,tunnel,piercing,stud,pair,cuff,steel
87,sweatyrocks,crop,top,woman,sleeve,short,shirt,casual,neck,long
88,kid,face,mask,boy,reusable,child,for,washable,girl,cover
89,shoe,toddler,baby,infant,girl,sole,first,walker,sneaker,crib
90,hat,sun,brim,beach,wide,straw,cap,bucket,summer,protection
91,wallet,purse,card,clutch,leather,holder,wristlet,rfid,phone,woman
92,dress,maxi,neck,woman,long,sleeve,party,floral,split,tie
93,graduation,gift,bracelet,her,she,2021,for,inspirational,college,class
94,bracelet,cuff,leather,bangle,wristband,adjustable,silver,steel,stainless,braided
95,sock,pair,crew,novelty,christmas,gift,funny,woman,men,for
96,lingerie,babydoll,lace,sexy,chemise,sleepwear,nightgown,teddy,woman,avidlove
